AttributeColumn,Match,Analyte,StdUnits
Ti_ppm_5_4A/OE,Start_sep,Ti,PPM
Ti_ppm_ARU25_OE,Start_sep,Ti,PPM
Ti_ppm_BES,Start_sep,Ti,PPM
Ti_ppm_BEST,Start_sep,Ti,PPM
Ti_ppm_BESTEL,Start_sep,Ti,PPM
Ti_ppm_BEST_NAME,Start_sep,Ti,PPM
Ti_ppm_BEST_TOT,Start_sep,Ti,PPM
Ti_ppm_BGOE,Start_sep,Ti,PPM
Ti_ppm_Error,Confidence,NULL,NULL
Ti_ppm_Error_XRF,Confidence,NULL,NULL
Ti_ppm_ICP102,Start_sep,Ti,PPM
Ti_ppm_MEICP41,Start_sep,Ti,PPM
Ti_ppm_NAME,Start_sep,Ti,PPM
Ti_ppm_Soil3Beam,Start_sep,Ti,PPM
Ti_ppm_d,Start_sep,Ti,PPM
Ti_ppm_error,Confidence,NULL,NULL
Ti_ppm_range,Start_sep,Ti,PPM
Ti_rHHXRF_ppm,Start_sep,Ti,PPM
Ti_range,Start_sep,Ti,PPM
Ti_xrf,Start_sep,Ti,PPM
Tin ppm (MS587),Unmatched,NULL,NULL
Tio2(100),Start_sep,TiO2,PCT
Tipc,Unmatched,NULL,NULL
Tippm,Start_Conc,Ti,PPM
Tippm_AR25/OE,Start_Conc,Ti,PPM
Tippm_B25/OES,Start_Conc,Ti,PPM
Titanite_Composites%,Unmatched,NULL,NULL
Titanium,Unmatched,NULL,NULL
Tl,Exact,Tl,PPM
Tl  ppb,Start_sep,Tl,PPM
Tl (0.02),Start_sep,Tl,PPM
Tl (10 ppm),Start_sep,Tl,PPM
Tl (UT),Start_sep,Tl,PPM
Tl (ppb),Start_sep,Tl,PPM
Tl (ppm),Start_sep,Tl,PPM
Tl -  ICPMS,Start_sep,Tl,PPM
Tl A/MS,Start_sep,Tl,PPM
Tl Error,Confidence,NULL,NULL
Tl MMI-M PPB,Start_sep,Tl,PPM
Tl _pct,Start_sep,Tl,PPM
Tl ppb,Start_sep,Tl,PPM
Tl ppb 0.5 ME-MS23,Start_sep,Tl,PPM
Tl ppb MS18,Start_sep,Tl,PPM
Tl ppm,Start_sep,Tl,PPM
Tl ppm  HFICP,Start_sep,Tl,PPM
Tl ppm II,Start_sep,Tl,PPM
Tl ppm ME-MS41,Start_sep,Tl,PPM
Tl ppm MS61,Start_sep,Tl,PPM
Tl(AR),Start_sep,Tl,PPM
Tl(CS),Start_sep,Tl,PPM
Tl(R),Start_sep,Tl,PPM
Tl(S),Start_sep,Tl,PPM
Tl(ppm),Start_sep,Tl,PPM
Tl-1,Start_sep,Tl,PPM
Tl-1VE-ACME-0_02,Start_sep,Tl,PPM
Tl-4A/OE-ppm,Start_sep,Tl,PPM
Tl-ICP302-ULTRA-0_1,Start_sep,Tl,PPM
Tl-ICP41-ppm,Start_sep,Tl,PPM
Tl-ICPMS,Start_sep,Tl,PPM
Tl-IMS40Q,Start_sep,Tl,PPM
Tl-ME-ICP61-ppm,Start_sep,Tl,PPM
Tl-Rp1,Start_sep,Tl,PPM
Tl-ppb_ME-MS23,Start_sep,Tl,PPM
Tl-ppm,Start_sep,Tl,PPM
Tl-ppm_4A/OE,Start_sep,Tl,PPM
Tl-ppm_ME-MS43,Start_sep,Tl,PPM
Tl-ppm_ME-MS61r,Start_sep,Tl,PPM
Tl-ppm_ME-MS81,Start_sep,Tl,PPM
Tl0.5,Unmatched,NULL,NULL
Tl1,Start_num,Tl,PPM
Tl100,Start_num,Tl,PPM
Tl2,Start_num,Tl,PPM
Tl205,Start_num,Tl,PPM
Tl3,Start_num,Tl,PPM
Tl4,Start_num,Tl,PPM
Tl5,Start_num,Tl,PPM
TlAR102ppm_01,Unmatched,NULL,NULL
TlB/AASppm1,Unmatched,NULL,NULL
TlGS201ppm,Unmatched,NULL,NULL
TlICP302ppm_1,Unmatched,NULL,NULL
TlM25MSppm_2,Unmatched,NULL,NULL
TlM50MS6ppm,Unmatched,NULL,NULL
TlM50MSppm_2,Unmatched,NULL,NULL
TlPPM,Start_Conc,Tl,PPM
TlR1,Unmatched,NULL,NULL
TlR2,Unmatched,NULL,NULL
